price,rooms,area,location
310.800 €,2 Zi.,55.89 m²,locationWien (Simmering)
auf Anfrage,2 Zi.,66.61 m²,locationFeld am See
289.978 €,2 Zi.,54.83 m²,locationPodersdorf am See
283.429 €,2 Zi.,57.42 m²,locationPodersdorf am See
4.390.000 €,4 Zi.,226 m²,locationHollersbach im Pinzgau
311.313 €,2 Zi.,43.83 m²,locationWien (Floridsdorf)
330.699 €,2 Zi.,63.03 m²,locationPodersdorf am See
299.890 €,2 Zi.,58.53 m²,locationPodersdorf am See
490.000 €,3 Zi.,90 m²,locationHopfgarten im Brixental
199.000 €,2 Zi.,50.55 m²,locationWien (Donaustadt)
197.000 €,3 Zi.,72.57 m²,locationVillach (Lind)
425.000 €,3 Zi.,99.9 m²,locationWien (Penzing)
220.000 €,3 Zi.,71.21 m²,locationWien (Rudolfsheim-Fünfhaus)
169.000 €,1 Zi.,30.2 m²,locationWien (Hernals)
389.000 €,3 Zi.,66.21 m²,locationWien (Hernals)
"375.000,70 €",4 Zi.,72.02 m²,locationWien (Meidling)
220.000 €,2 Zi.,39.83 m²,locationWien (Meidling)
139.000 €,1 Zi.,31.7 m²,locationWien (Rudolfsheim-Fünfhaus)
"375.000,54 €",4 Zi.,72.18 m²,locationWien (Meidling)
220.000 €,2 Zi.,39.83 m²,locationWien (Meidling)
110.000 €,2 Zi.,62 m²,locationFerlach
330.000 €,2 Zi.,58 m²,locationWien (Hietzing)
230.000 €,1 Zi.,35 m²,locationSeefeld
469.000 €,3 Zi.,83 m²,locationWien (Penzing)
799.000 €,3 Zi.,90 m²,locationFieberbrunn
188.822 €,2 Zi.,50 m²,locationBad Mitterndorf
146.000 €,2 Zi.,72.76 m²,locationWien (Währing)
469.000 €,3 Zi.,83 m²,locationWien (Penzing)
775.000 €,,191.35 m²,locationWien(Stadt) (Währing)
269.000 €,3 Zi.,78 m²,locationGänserndorf
329.000 €,4 Zi.,80 m²,locationWien (Meidling)
1.098.000 €,4 Zi.,122 m²,locationWien (Wieden)
125.000 €,1 Zi.,32 m²,locationWien (Hernals)
123.000 €,1 Zi.,33 m²,locationWien (Hernals)
124.000 €,1 Zi.,36 m²,locationWien (Floridsdorf)
493.000 €,3 Zi.,106.27 m²,locationWien (Favoriten)
445.296 €,3 Zi.,105.01 m²,locationWien (Favoriten)
449.000 €,3 Zi.,83 m²,locationWien (Penzing)
249.000 €,,,locationKrems an der Donau (Krems an der Donau)
360.000 €,3 Zi.,78.23 m²,locationWolfurt
249.000 €,3 Zi.,93 m²,locationWels (Grabenhof)
auf Anfrage,2 Zi.,54.73 m²,locationInnsbruck (Innsbruck)
469.000 €,3 Zi.,76 m²,locationWien (Penzing)
479.000 €,3 Zi.,79 m²,locationWien (Penzing)
"462.500,79 €",3 Zi.,76.71 m²,locationWien (Währing)
"554.000,97 €",3 Zi.,80.41 m²,locationWien (Währing)
323.100 €,2 Zi.,42.94 m²,locationWien (Währing)
"508.000,54 €",3 Zi.,80.06 m²,locationWien (Währing)
"276.000,34 €",2 Zi.,50.6 m²,locationWien (Währing)
"416.000,53 €",3 Zi.,72.97 m²,locationWien (Währing)
"295.000,53 €",3 Zi.,57.08 m²,locationWien (Währing)
"451.000,78 €",2 Zi.,71.97 m²,locationWien (Währing)
"599.000,65 €",3 Zi.,78.27 m²,locationWien (Währing)
"647.000,06 €",3 Zi.,85.87 m²,locationWien (Währing)
"351.000,38 €",2 Zi.,63.21 m²,locationWien (Währing)
"555.000,96 €",3 Zi.,74.06 m²,locationWien (Währing)
"535.000,19 €",3 Zi.,73.46 m²,locationWien (Währing)
"555.000,26 €",3 Zi.,75.73 m²,locationWien (Währing)
"516.000,41 €",3 Zi.,76.37 m²,locationWien (Währing)
"646.574,09 €",3 Zi.,86.25 m²,locationWien (Währing)
"323.000,43 €",2 Zi.,57.18 m²,locationWien (Währing)
